Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX
1003,1003,0,1,0,1,108,2,2
1004,1004,0,1,0,1,109,0,0
1005,1005,0,1,0,1,110,3,3
1006,1006,0,1,0,1,111,a,a
1007,1007,0,1,0,1,112,8,8
1008,1008,0,1,0,1,113,a,a
1009,1009,0,1,0,1,114,2,2
1010,1010,0,1,0,1,115,a,a
1011,1011,0,1,0,1,116,0,0
1012,1012,0,1,0,1,117,0,0
1013,1013,0,1,0,1,118,8,8
1014,1014,0,1,0,1,119,2,2
1015,1015,0,1,0,1,120,0,0
1016,1016,0,1,0,1,121,0,0
1017,1017,0,1,0,1,122,0,0
1018,1018,0,1,0,1,123,8,8
1019,1019,0,1,0,1,124,9,9
1020,1020,0,1,0,1,125,8,8
1021,1021,0,1,0,1,126,8,8
1022,1022,0,1,0,1,127,0,0
1023,1023,0,1,0,1,0,0,0
